BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBO_AccountType,_QBO_SubType
735.1,Worker's Compensation,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
731,IT Support,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
781,Legal/Accounting,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
733,Marketing Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
739,Meals/Entertainment,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
785,Misc. Expense,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
766,Office Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
743,Payroll Processing Fee,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
742,Payroll Taxes,,TRUE,,,Expense,,,,,,,Expense,PayrollExpenses
719,Pension & Profit Sharing,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
719.1,401(k) Administrative Fees,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
748,Permits/Licenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
712,Postage & Delivery,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
710,Printing,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
779,Professional Development,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
727,Recruiting Expense,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
720,Rent,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
730,Repairs and Maintenance,Incidental repairs and maintenance of business assets that do not add to the value or appreciably pr,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
769,Software Renewals,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
729,Telephone Expense,"Telephone and long distance charges, faxing, and other fees Not equipment purchases",TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
717,Temporary Help,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
738,Travel Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
726,Utilities,"Water, electricity, garbage, and other basic utilities expenses",TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
753,Vehicle Lease,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
790,Web Hosting,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
950,Interest Expense,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
951,Interest Expense - FVCBank,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
406,Interior Design,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
QBO-188,Inventory Asset,,TRUE,,,Asset,,,,,,,Other Current Asset,Inventory
269,L.O.C Platinum,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
142,Leashehold Improvements,,TRUE,,,Asset,,,,,,,Fixed Asset,OtherFixedAssets
268,Line of Credit,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
268.1,Line of Credit 2,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
190,Loan Expense,,TRUE,,,Asset,,,,,,,Other Asset,OtherLongTermAssets
213,Loan Platinum Bank,,TRUE,,,Liability,,,,,,,Long Term Liability,OtherLongTermLiabilities
263,Loans from Officers,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
263.2,Due from Eric,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
263.1,Due to Nick,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
171,Management Fee Payable,WCP Payable,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
410,MFG/Industrial,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
980,MN Min Fee Tax,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
107,Money Market Savings,,TRUE,,,Asset,,,,,,,Bank,Checking
170,Monthly Management Fee,WCP monthly fee,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
955,Non-deductible Insurance Exp,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
30000,Opening Balance Equity,Opening balances during setup post to this account. The balance of this account should be zero after,TRUE,,,Equity,,,,,,,Equity,OpeningBalanceEquity
186,Organization Expenses,,TRUE,,,Asset,,,,,,,Other Asset,OtherLongTermAssets
409,Other Revenue,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
110,Partner Holdings LLC CHK,,TRUE,,,Asset,,,,,,,Bank,Checking
120,Payments to deposit,"Funds received, but not yet deposited to a bank account",TRUE,,,Asset,,,,,,,Other Current Asset,UndepositedFunds
232,Payroll Liabilities,"Unpaid payroll liabilities. Amounts withheld or accrued, but not yet paid",TRUE,,,Liability,,,,,,,Other Current Liability,PayrollTaxPayable
985,Penalties and Interest,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
108,Platinum Checking,,TRUE,,,Asset,,,,,,,Bank,Checking
112,PNC Checking,,TRUE,,,Asset,,,,,,,Bank,Checking
365,PPP Loan Proceeds,,TRUE,,,Liability,,,,,,,Long Term Liability,OtherLongTermLiabilities
173,Preferred Div,WCP Pref Div,TRUE,,,Equity,,,,,,,Equity,PartnerDistributions
174,Preferred Div Payable,WCP Pref Div Payable,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
172,Preferred Equity Payments-MN,Preferred Equity Payments-MN,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
127,Prepaid Expenses,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
133,Prepaid Insurance,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
132,Prepaid Rent,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
134,Prepaid Vehicle Lease,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
999,prior income,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
QBO-186,Purchases,,TRUE,,,Expense,,,,,,,Expense,SuppliesMaterials
QBO-305,QuickBooks Payments Fees,,TRUE,,,Expense,,,,,,,Expense,OtherSellingExpenses
66900,Reconciliation Discrepancies,Discrepancies between bank statements and company records,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
QBO-189,Reconciliation Discrepancies-1,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
